CustomerID,FullName,DOB,Gender,City,State,Email,Phone,CustomerSegment,Status,JoinDate
1,Amanda Conley,28-06-1959,Male,Grosshaven,Virginia,reneemullins@example.net,8939100251,Premium,Active,29-01-2025
2,Melanie Burns,13-01-1984,Male,South Laurenhaven,California,hopkinscarl@example.net,241.543.3377x6174,Regular,Inactive,09-08-2024
3,Patrick Torres,03-03-1955,Male,North Timothy,Illinois,radams@example.org,001-637-348-4777x183,Regular,Inactive,30-03-2022
4,Robert Donaldson,12-09-2006,Male,Mcknightfurt,California,sabrinaarias@example.org,001-612-384-5298,Regular,Active,09-08-2021
5,Katelyn Johnson,20-09-1992,Male,South Erinfurt,Washington,jessica65@example.com,815-805-5613x04451,Regular,Active,28-08-2022
6,Jeffrey Hill,13-06-2010,Male,West Cristianport,Texas,johnbaker@example.net,435-660-6883x10679,New,Active,01-06-2024
7,Carolyn Perry,28-08-1979,Female,Kennethview,Oregon,tdouglas@example.com,-2869,VIP,Inactive,01-01-2026
8,Charles Lee,23-11-2004,Male,East Matthewland,Illinois,john49@example.org,2669683645,Premium,Active,02-06-2026
9,Jonathan Soto,04-03-1967,Female,North Joseph,Ohio,patrickbrewer@example.com,902-506-7970x1687,Premium,Active,11-04-2026
10,Wesley Rodriguez,04-07-1997,Male,Millerton,Ohio,caseyjesse@example.org,+1-842-648-6111x4893,Regular,Active,14-08-2022
11,Eric Murray,08-12-1963,Male,Deannabury,Texas,jfox@example.org,6645003761,Regular,Active,22-06-2024
12,Andrew Morgan,25-07-1990,Female,Coxfurt,New York,adamcarter@example.net,637-634-3373,New,Active,25-01-2026
13,Stephanie Washington,22-01-1957,Male,New Dustinfurt,Michigan,lewisterri@example.org,(900)226-7511x25328,Regular,Active,01-08-2024
14,Victoria Ramos,25-03-1969,Female,North Christianland,California,robert18@example.org,(754)961-0735x8735,VIP,Inactive,31-01-2025
15,Pamela Williams,03-05-1952,Female,South Bryanton,Washington,james19@example.com,(245)590-4544x091,Premium,Active,16-07-2023
16,Ricardo Clarke,15-12-1956,Male,Briggsberg,Michigan,zwhite@example.net,429-535-5759x1836,Regular,Active,14-01-2025
17,Mr. Christopher Simmons,26-12-1974,Female,North Josephland,North Carolina,colejimenez@example.net,623.626.7938x144,Premium,Inactive,17-09-2024
18,David Sanchez,24-11-1972,Female,West Nicole,Georgia,markfoster@example.org,583.317.0107x37504,VIP,Active,23-02-2025
19,Cheyenne Jones,18-07-1953,Male,South Carrie,Colorado,rodriguezcaitlyn@example.net,(230)755-2034x093,Regular,Active,21-06-2024
20,Angela Johnson,23-01-1975,Male,Kelleyland,Oregon,zgarcia@example.net,-7903,Regular,Active,07-05-2023
21,Heather Butler,18-09-2007,Male,Deannafurt,Illinois,aharris@example.com,(461)216-9572,New,Active,21-01-2023
22,Jennifer Berry,15-08-1953,Female,Joburgh,Illinois,michaelmartin@example.org,716-273-4207,Regular,Active,21-03-2022
23,Michael Watts,24-12-1986,Female,Lake Kristi,North Carolina,christinemendez@example.org,529.230.6826x5123,Premium,Active,24-08-2024
24,Mary Nguyen,21-07-2003,Female,Greeneside,Ohio,deborah49@example.org,(965)478-7200x97737,New,Inactive,30-08-2025
25,Ian Diaz,25-02-1999,Male,Gordonton,Oregon,fieldschristopher@example.net,681-408-6201x91327,New,Active,28-06-2023
26,Roy Bishop,09-09-1991,Female,Erikview,Georgia,gthomas@example.com,594.498.3550,Regular,Active,24-01-2025
27,Garrett Bennett,23-09-1974,Female,Darinhaven,California,fieldsmichael@example.com,-10256,Regular,Active,25-08-2024
28,Jessica Thompson,28-02-1985,Male,West Loriview,Colorado,danielle95@example.net,7032249668,Regular,Active,17-04-2023
29,Alison Smith,11-06-1958,Male,Kevinhaven,New York,amanda69@example.com,001-523-459-7220,New,Active,21-08-2022
30,Maurice Nelson,28-07-1977,Male,Tammyton,Florida,brooke97@example.net,373.220.0080x62320,Regular,Active,31-10-2021
31,Jason Holmes,12-04-1987,Male,Liburgh,Michigan,bryce07@example.net,-2695,VIP,Inactive,30-09-2024
32,Paul Neal,16-06-1964,Female,Jenniferview,Colorado,hjennings@example.com,731-580-2433x2536,Regular,Inactive,16-09-2021
33,Vicki Skinner,15-04-1973,Female,Kennedyhaven,Washington,mathewssamuel@example.net,494.436.9919,Regular,Active,16-09-2025
34,Candice Madden,30-06-1952,Male,North Bobbyton,Oregon,doylecameron@example.net,001-653-981-6133x31001,New,Active,25-01-2022
35,Christine Flores,06-07-1956,Male,Greenstad,Florida,sarah05@example.com,001-298-574-9060x68157,VIP,Active,31-12-2021
36,Donna Graham,20-05-1993,Male,West Kathleen,Florida,smithtravis@example.com,001-927-495-8492x433,Regular,Active,03-08-2025
37,Richard Terry,11-02-1957,Male,Lake Markville,Washington,vmcfarland@example.org,(205)734-4688x26372,New,Active,25-08-2024
38,Joanna Spencer,01-06-1985,Female,Gavinmouth,Illinois,beth25@example.com,+1-738-434-4922x3598,Regular,Active,01-02-2024
39,Troy Cooley,10-09-1964,Male,Lake Craig,Ohio,jhernandez@example.com,001-846-843-1143x6700,Regular,Active,21-03-2026
40,Julie Thomas,16-02-1992,Female,Smithbury,Arizona,lhaynes@example.net,+1-563-893-2176x5416,Premium,Active,24-12-2023
41,Jeff Gibson,23-04-1993,Female,Holmesburgh,Ohio,kimberly67@example.org,9485323851,Regular,Inactive,12-08-2024
42,Sandra Boyd,23-07-1993,Female,Harmonmouth,Texas,veronicawhite@example.net,001-719-650-4466x00166,Regular,Active,14-01-2024
43,Troy Mata,28-01-1957,Male,Murrayburgh,Virginia,sarahjones@example.net,478.932.5674,Regular,Active,05-01-2023
44,James King,22-10-1971,Female,Sheltonfort,Virginia,trujillolauren@example.com,445.677.6915,Premium,Inactive,13-09-2025
45,Susan Bowers,15-10-2001,Female,New Marie,Georgia,sandovaljason@example.org,+1-844-491-9232x7523,New,Active,19-10-2021
46,Ann Valenzuela,03-02-1987,Male,Jamesborough,Colorado,harmonsamuel@example.org,-3954,New,Inactive,25-11-2024
47,Jonathan Ryan PhD,19-07-1978,Male,East Marymouth,California,dortega@example.com,(461)225-0090x51877,Regular,Active,25-03-2022
48,Brandon Hopkins,28-04-1963,Female,Thomashaven,Oregon,justinpeterson@example.com,-9006,Regular,Active,25-07-2023
49,Erin Stewart,08-01-2009,Female,Davidland,Arizona,rossangela@example.com,-2256,Premium,Active,26-09-2024
50,Lisa Sims,11-11-1997,Male,East Benjaminmouth,Pennsylvania,craigwhite@example.org,(810)252-4844x26050,Regular,Active,29-12-2025
51,Patricia Fisher,21-05-1980,Male,Griffintown,Michigan,qwheeler@example.org,368.511.7320x6001,Regular,Active,01-02-2024
52,Nathan Allen,11-09-2002,Female,North Michael,North Carolina,jessicamiller@example.net,-1216,Regular,Inactive,25-02-2022
53,Scott Tucker,08-03-1969,Male,West Michaelshire,Massachusetts,kharrison@example.org,752-667-6749,Regular,Active,08-02-2025
54,Rebecca Greene,26-04-1967,Male,Port Edwardport,Virginia,pbray@example.com,(269)637-4054x4629,Regular,Active,29-07-2024
55,Laura Hill,07-07-2000,Male,Reedland,California,msalinas@example.net,249.806.7349,Regular,Inactive,05-07-2025
